"Propiedades de la ubicación"
"Nombre de la ubicación = Sin nombre"
"Identificación de ubicación = 7df69ec8-72e3-4a21-a514-9c4efcb05c96"
""
"Propiedades del informe"
"Hora de inicio = 2023-03-30 13:58:22"
"Duración = 34.20:01:38"
"Lecturas = 1675"
"Intervalo de tiempo = 02:00:00"
""
"Propiedades de los instrumentos"
"Modelo del dispositivo = VuLink Cellular"
"Dispositivo SN = 969970"
"Firmware del dispositivo = 1.70"
""
"Propiedades de los instrumentos"
"Modelo del dispositivo = Aqua TROLL 500"
"Dispositivo SN = 1003230"
""
"Propiedades del registro"
"Nombre del registro = Registro_2023-03-30"
"Tipo de log = Lineal"
"Número de archivo de registro = 3"
"Identificación del registro = fbbb46ba-3945-4e73-ad13-7c5844b2b255"
"Habilitado empaquetado de registros = True"
"Intervalo = 00:30:00"
""
""
"","VuLink Cellular 969970",,,,,,"Aqua TROLL 500 1003230",,,,,,
"Fecha Hora","Latitud (°) (969970)","Longitud (°) (969970)","Elevación (m) (969970)","Temperatura (°C) (969970)","Capacidad de la batería (%) (969970)","Presión barométrica (mm Hg) (969970)","Concentración RDO (mg/L) (1003620)","Nitrato (NO₃⁻ - N) (mg/L) (983048)","pH (pH) (982972)","ORP (mV) (982972)","Conductividad real (µS/cm) (1001986)","Temperatura (°C) (1003230)","Profundidad (ft) (997881)"
"2023-04-01 04:00:00","41.7471","1.844167","297","12.14877","98.93019","737.3998","11.44121","0.2480406","9.018518","150.419","354.0121","16.46704","2.63541"
"2023-04-01 04:30:00","41.74713","1.844197","291.4","12.22384","98.92414","737.6472","11.36977","0.2462781","9.016541","144.0652","389.8029","16.45029","2.637401"
"2023-04-01 05:00:00","41.74712","1.844225","314","12.58849","98.91966","737.6086","11.31273","0.2476933","9.005404","148.1087","389.6017","16.42605","2.629677"
"2023-04-01 05:30:00","41.74692","1.84428","261.3","12.66357","98.91283","737.6009","11.21256","0.2446551","9.003384","152.1118","391.6253","16.36237","2.623407"
"2023-04-01 06:00:00","41.74746","1.844605","242.1","12.35254","98.90441","737.6811","11.12183","0.2491585","8.995307","152.2787","392.3275","16.32056","2.631237"
"2023-04-01 06:30:00","41.74712","1.844287","281.2","11.56961","98.89862","737.6359","11.08533","0.2345006","8.991169","149.575","398.8222","16.27559","2.641374"
"2023-04-01 07:00:00","41.74715","1.844205","360.7","11.30148","98.8931","737.6439","10.9711","0.2408679","8.991485","152.8199","399.7307","16.21895","2.644271"
"2023-04-01 07:30:00","41.74713","1.844268","296.7","11.14061","98.88626","737.8036","10.88784","0.2382264","8.982669","150.09","399.8448","16.16734","2.644742"
"2023-04-01 08:00:00","41.74796","1.844392","433.4","11.14061","98.88047","738.0381","10.87089","0.2364623","8.989307","154.1049","402.5605","16.12754","2.630821"
"2023-04-01 08:30:00","41.74745","1.84436","329.8","11.20496","98.87495","738.0204","10.82773","0.2316982","8.979894","151.4371","404.2879","16.09375","2.645999"
