"Propiedades de la ubicación"
"Nombre de la ubicación = Unnamed"
"Identificación de ubicación = 99b19a22-da0c-4101-883b-8835c7c43bcb"
""
"Propiedades del informe"
"Hora de inicio = 2023-03-30 12:50:25"
"Duración = 34.21:09:35"
"Lecturas = 1676"
"Intervalo de tiempo = 02:00:00"
""
"Propiedades de los instrumentos"
"Modelo del dispositivo = VuLink Cellular"
"Dispositivo SN = 970485"
"Firmware del dispositivo = 1.70"
""
"Propiedades de los instrumentos"
"Modelo del dispositivo = Aqua TROLL 500"
"Dispositivo SN = 1002779"
""
"Propiedades del registro"
"Nombre del registro = Log_2023-03-30"
"Tipo de log = Lineal"
"Número de archivo de registro = 2"
"Identificación del registro = 6536ec03-c5f3-4c88-8b6f-1b61dd267e56"
"Habilitado empaquetado de registros = True"
"Intervalo = 00:30:00"
""
""
"","VuLink Cellular 970485",,,"Aqua TROLL 500 1002779",,,,,,,
"Fecha Hora","Temperatura (°C) (970485)","Capacidad de la batería (%) (970485)","Presión barométrica (mm Hg) (970485)","Turbidez (NTU) (1001626)","Fluorescencia de BGA-PE (algas verdiazules-ficoeritrina) (RFU) (1005408)","Fluorescencia de BGA-PC (algas verdiazules-ficocianina) (RFU) (1008102)","Fluorescencia de clorofila-a (RFU) (1005345)","Temperatura (°C) (1002779)","Voltaje externo (V) (1002779)","Presión (psi) (997880)","Profundidad (ft) (997880)"
"2023-04-01 16:30:00","20.76102","98.40672","734.6786","0.3526309","0","0.5627298","1.53499","16.77744","15.696","1.323382","3.680823"
"2023-04-01 17:00:00","20.09606","98.40356","734.6913","4.246442","0","0.6066898","1.755536","16.78412","15.705","1.323727","3.681388"
"2023-04-01 17:30:00","20.02099","98.4012","734.2404","0.01930515","0","0.5690498","1.858899","16.89005","15.723","1.325883","3.686581"
"2023-04-01 18:00:00","20.06389","98.39804","733.9598","0.3133535","0","0.5657982","1.660872","16.97412","15.723","1.326248","3.687396"
"2023-04-01 18:30:00","20.82537","98.39568","733.6021","0.125039","0","0.6078355","1.715979","17.05774","15.687","1.326511","3.687836"
"2023-04-01 19:00:00","22.61646","98.39226","733.6945","0.4190025","0","0.5966784","1.788245","17.00433","15.714","1.318508","3.669506"
"2023-04-01 19:30:00","22.59501","98.38988","733.6964","0.5753729","0","0.6119394","2.145499","16.96832","15.705","1.326444","3.687847"
"2023-04-01 20:00:00","17.69364","98.38699","733.7482","0.6390169","0","0.5901424","2.366891","16.85446","15.687","1.326056","3.686844"
"2023-04-01 20:30:00","16.68548","98.38463","733.9401","0.06233883","0","0.560285","2.435461","16.78998","15.696","1.331521","3.699596"
"2023-04-01 21:00:00","16.59968","98.38252","734.6557","0.2685343","0","0.5340266","2.382987","16.81039","15.696","1.32653","3.687849"
